ACPS1
ADSL1r
ADSS
ALAALA
APRAUR
ASP1DC
BPNT
CA2abc
CDPMEK
COBALTt5
CYTK1
Cuabc
DAPE
DB4PS
DHDPRy
DHDPS
DHFR
DHPPDA
DMATT
DPCOAK
DPRr
DTMPK
DXPRIr
DXPS
E4PD
EX_biomass(e)
EX_ca2(e)
EX_cl(e)
EX_cobalt2(e)
EX_cu2(e)
EX_fe2(e)
EX_k(e)
EX_mg2(e)
EX_mn2(e)
EX_pi(e)
EX_so4(e)
EX_zn2(e)
FBP
FE2abc
FMNAT
G1PACT
GF6PTA
GHMT2r
GLUR
GMPS2
GRTT
GTPCII
MECDPDH2
MECDPS
MEPCT
METAT
MNabc
MOHMT
NNATr
OHPBAT
PANTS
PAPPT3
PEPGLY
PERD
PGAMT
PMDPHT
PNTK
PPCDC
PRPPS
PTPAT
RBFK
RBFSa
RBFSb
RNDR1
RNDR2
RNDR3
RPE
SDPDS
SDPTA
SO4t2
SUCOAS
THDPS
TKT2
TMDS
TRDRr
UAAGDS
UAGCVT_r
UAGDP
UAGPT3
UAMAGS
UAMAS
UAPGR
UDCPDP
UDCPDPS
UGMDDS
UMPK
dreplication
pbiosynthesis
r2137
rtranscription
biomass525
