'ACPS1'
'ALAALA'
'APRAUR'
'ASAD'
'ASPKi'
'BPNT'
'CAt4i'
'CDPMEK'
'COBALTt5'
'Cuabc'
'DAPE'
'DB4PS'
'DHDPRy'
'DHDPS'
'DHPPDA'
'DMATT'
'DPCOAK'
'DTMPK'
'DXPRIr'
'DXPS'
'EX_biomass(e)'
'EX_ca2(e)'
'EX_cl(e)'
'EX_cobalt2(e)'
'EX_cu2(e)'
'EX_fe2(e)'
'EX_k(e)'
'EX_mg2(e)'
'EX_mn2(e)'
'EX_so4(e)'
'EX_zn2(e)'
'FE2abc'
'FMNAT'
'GLUR'
'GRTT'
'GTPCII'
'MECDPDH2'
'MECDPS'
'MEPCT'
'METAT'
'PAPPT3'
'PEPGLY'
'PMDPHT'
'PNTK'
'PPCDC'
'PTPAT'
'RBFK'
'RBFSa'
'RBFSb'
'SDPDS'
'SDPTA'
'SO4t2'
'SUCOAS'
'THDPS'
'TRDRr'
'UAAGDS'
'UAGCVT_r'
'UAGPT3'
'UAMAGS'
'UAMAS'
'UAPGR'
'UDCPDP'
'UDCPDPS'
'UGMDDS'
'ZNabc'
'dreplication'
'pbiosynthesis'
'r2137'
'rtranscription'
'biomass525'
