SA_RS04160,SA_RS13730,SA_RS11075
SA_RS04160,SA_RS08505,SA_RS04140
SA_RS04160,SA_RS13335,SA_RS01375
SA_RS13730,SA_RS11075,SA_RS01095
SA_RS13730,SA_RS11075,SA_RS07120
SA_RS13730,SA_RS11075,SA_RS04680
SA_RS13730,SA_RS11075,SA_RS04145
SA_RS13730,SA_RS11075,SA_RS09060
SA_RS13730,SA_RS11075,SA_RS04150
SA_RS13210,SA_RS13335,SA_RS01375
SA_RS04650,SA_RS07730,SA_RS08545
SA_RS04650,SA_RS07725,SA_RS08545
SA_RS04650,SA_RS04330,SA_RS08545
SA_RS04650,SA_RS07735,SA_RS08545
SA_RS04650,SA_RS11015,SA_RS08545
SA_RS04650,SA_RS08545,SA_RS08760
SA_RS04650,SA_RS12375,SA_RS03335
SA_RS04650,SA_RS12375,SA_RS04575
SA_RS04650,SA_RS12375,SA_RS09000
SA_RS04650,SA_RS12375,SA_RS04630
SA_RS04650,SA_RS12375,SA_RS02350
SA_RS04650,SA_RS12375,SA_RS04560
SA_RS08505,SA_RS04140,SA_RS01095
SA_RS08505,SA_RS04140,SA_RS07120
SA_RS08505,SA_RS04140,SA_RS08565
SA_RS08505,SA_RS04140,SA_RS04680
SA_RS08505,SA_RS04140,SA_RS09060
SA_RS07730,SA_RS11015,SA_RS08760
SA_RS07725,SA_RS11015,SA_RS08760
SA_RS04330,SA_RS11015,SA_RS08760
SA_RS07735,SA_RS11015,SA_RS08760
SA_RS13335,SA_RS01375,SA_RS04680
SA_RS13335,SA_RS01375,SA_RS04145
SA_RS13335,SA_RS01375,SA_RS09060
SA_RS13335,SA_RS01375,SA_RS04150
SA_RS02450,SA_RS08580,SA_RS09060
SA_RS00965,SA_RS00920,SA_RS11005
