ASAD,EX_met_L(e),SHSL4r
ASPO6,EX_succ(e),NAPRT
ASPO6,EX_succ(e),EX_nac(e)
ASPO6,EX_succ(e),NACt2r
ASPO6,NAPRT,SUCCt2r
ASPO6,NAPRT,ASPO5
ASPO6,SUCCt2r,EX_nac(e)
ASPO6,SUCCt2r,NACt2r
ASPO6,EX_nac(e),ASPO5
ASPO6,NACt2r,ASPO5
ASPTA,LARGNAT,EX_asp_L(e)
ASPTA,LARGNAT,ASPt2r
ASPTA,EX_asp_L(e),L_AROND
ASPTA,ASPt2r,L_AROND
CBPS,EX_orn(e),ARGt2
CBPS,r1667,ARGt2
CTPS1,CTPS2,CYTK1
CTPS1,CTPS2,EX_cytd(e)
CTPS1,CTPS2,CYTDt2r
CYSDS,CYSTL,EX_met_L(e)
CYSDS,EX_met_L(e),SHSL1r
CYSTL,EX_met_L(e),SHSL2
CYTD,CYTK1,EX_cytd(e)
CYTD,CYTK1,CYTDt2r
DCMPDA,RNTR3,ADAD
DCMPDA,RNTR3,EX_dcyt(e)
DCMPDA,RNTR3,DCYTt2r
DHAD1,VALabc,VALt2r
DHAD2,EX_ile_L(e),EX_3mop(e)
DHAD2,EX_ile_L(e),3MOPt2r
DHAD2,ILETA,EX_3mop(e)
DHAD2,ILETA,3MOPt2r
DMPPS,DMPPS2r,IPDDI
DRIBI,GMPS2,EX_gua(e)
DRIBI,TKT1,CHORM
ECOAH1,PTAr,EX_ac(e)
ECOAH1,PTAr,ACtr
EX_acgam(e),EX_gam(e),GF6PTA
EX_acgam(e),GAMpts,GF6PTA
EX_arg_L(e),OCBT,HYPSUCORNS
EX_arg_L(e),OCBT,SUCCITRDSs
EX_arg_L(e),OCBT,SUCORNTC
EX_glc(e),G6PI,PGI
EX_glc(e),G6PI3,PGI
EX_gln_L(e),GLNS,GLUOX
EX_met_L(e),EX_succ(e),SHSL4r
EX_met_L(e),HSST,SHSL4r
EX_met_L(e),METFR,r0792
EX_met_L(e),OOR2r,SHSL4r
EX_met_L(e),SHSL1r,SHSL2
EX_met_L(e),SHSL4r,SUCCt2r
EX_met_L(e),SHSL4r,ASPKi
EX_o2(e),EX_succ(e),NAPRT
EX_o2(e),EX_succ(e),EX_nac(e)
EX_o2(e),EX_succ(e),NACt2r
EX_o2(e),NAPRT,SUCCt2r
EX_o2(e),NAPRT,ASPO5
EX_o2(e),SUCCt2r,EX_nac(e)
EX_o2(e),SUCCt2r,NACt2r
EX_o2(e),EX_nac(e),ASPO5
EX_o2(e),NACt2r,ASPO5
EX_orn(e),H2CO3D,ARGt2
EX_succ(e),NAPRT,O2t
EX_succ(e),NAPRT,THIORDXi
EX_succ(e),O2t,EX_nac(e)
EX_succ(e),O2t,NACt2r
EX_succ(e),THIORDXi,EX_nac(e)
EX_succ(e),THIORDXi,NACt2r
EX_tyr_L(e),LARGNAT,TYRTA
EX_tyr_L(e),TYRTA,L_AROND
EX_val_L(e),KARA1,KARA3
EX_xan(e),GUAPRT,IMPD
EX_xan(e),IMPD,EX_gua(e)
FACOAL180,G3PAT180,STCOATA
FBA,FBP,EX_glyc(e)
FBA,FBP,GLYCt
FBA3,TALA,TKT1
FBA3,TALA,TKT2
G3PD1,G3PD2,G3PD8
G6PI,GLCpts,PGI
G6PI3,GLCpts,PGI
GARFTi,HXPRT,EX_ade(e)
GARFTi,HXPRT,ADEt2r
GHMT2r,PGCDr,EX_ser_L(e)
GHMT2r,PGCDr,SERt2r
GHMT2r,PSERT,EX_ser_L(e)
GHMT2r,PSERT,SERt2r
GHMT2r,EX_ser_L(e),PSP_L
GHMT2r,SERt2r,PSP_L
GLUPRT,HXPRT,EX_ade(e)
GLUPRT,HXPRT,ADEt2r
GMPS2,GNNUC,EX_gua(e)
GMPS2,NTD10,EX_gua(e)
GMPS2,RBK_Dr,EX_gua(e)
GMPS2,r1384,EX_gua(e)
GNNUC,NTD7,RPE
GNNUC,NTD7,TKT2
GNNUC,RPE,EX_ade(e)
GNNUC,RPE,ADEt2r
GNNUC,TKT2,EX_ade(e)
GNNUC,TKT2,ADEt2r
GUAPRT,IMPD,XANt2
GUAPRT,IMPD,XPPT
HSDx,HSDy,THRAr
HSDx,HSDy,EX_acald(e)
HSDx,HSDy,ACALDt
HXPRT,PRAGS,EX_ade(e)
HXPRT,PRAGS,ADEt2r
HXPRT,PRAIS,EX_ade(e)
HXPRT,PRAIS,ADEt2r
HXPRT,PRASCSi,EX_ade(e)
HXPRT,PRASCSi,ADEt2r
HXPRT,PRFGS,EX_ade(e)
HXPRT,PRFGS,ADEt2r
HXPRT,TKT1,CHORM
HXPRT,H2CO3D,EX_ade(e)
HXPRT,H2CO3D,ADEt2r
HXPRT,EX_ade(e),AIRC4
HXPRT,ADEt2r,AIRC4
ILETA,ILEabc,ILEt2r
IMPD,NTD7,RPE
IMPD,NTD7,TKT2
IMPD,RPE,EX_ade(e)
IMPD,RPE,ADEt2r
IMPD,TKT2,EX_ade(e)
IMPD,TKT2,ADEt2r
IMPD,EX_gua(e),XANt2
IMPD,EX_gua(e),XPPT
INSH,TKT1,CHORM
IPDDI,IPDPS,IPDPS2
IPMDr,LEUabc,LEUt2r
IPPMIa,LEUabc,LEUt2r
IPPMIb,LEUabc,LEUt2r
KARA1,KARA3,VALTA
LARGNAT,TYRTA,TYRt2r
LARGNAT,EX_phe_L(e),CHORM
LARGNAT,PHEt2r,CHORM
LEUTA,LEUabc,LEUt2r
LEUabc,LEUt2r,OMCDC
METFR,METSr,r0792
METSr,METabc,METt2r
NAPRT,O2t,SUCCt2r
NAPRT,O2t,ASPO5
NAPRT,SUCCt2r,THIORDXi
NAPRT,THIORDXi,ASPO5
NTD4,NDPK3,ADK5
NTD7,RPE,EX_gua(e)
NTD7,RPE,GUAt
NTD7,TKT2,EX_gua(e)
NTD7,TKT2,GUAt
O2t,SUCCt2r,EX_nac(e)
O2t,SUCCt2r,NACt2r
O2t,EX_nac(e),ASPO5
O2t,NACt2r,ASPO5
PFK_3,TALA,TKT2
PTAr,EX_ac(e),BTCOAACCOAT
PTAr,EX_ac(e),EX_but(e)
PTAr,EX_ac(e),BUTt2r
PTAr,ACtr,BTCOAACCOAT
PTAr,ACtr,EX_but(e)
PTAr,ACtr,BUTt2r
RBK_Dr,TKT1,CHORM
RNTR3,RNTR4,ADAD
RNTR3,RNTR4,EX_dcyt(e)
RNTR3,RNTR4,DCYTt2r
RNTR3,NDPK7,ADK8
RPE,EX_ade(e),EX_gua(e)
RPE,EX_ade(e),GUAt
RPE,ADEt2r,EX_gua(e)
RPE,ADEt2r,GUAt
S17BPH,TALA,TKT1
SGAT,STCOATA,AACPS6
SUCCt2r,THIORDXi,EX_nac(e)
SUCCt2r,THIORDXi,NACt2r
THIORDXi,EX_nac(e),ASPO5
THIORDXi,NACt2r,ASPO5
TKT1,EX_ins(e),CHORM
TKT1,INSt,CHORM
TKT2,EX_ade(e),EX_gua(e)
TKT2,EX_ade(e),GUAt
TKT2,ADEt2r,EX_gua(e)
TKT2,ADEt2r,GUAt
TYRTA,TYRt2r,L_AROND
VALTA,VALabc,VALt2r
r1667,H2CO3D,ARGt2
EX_phe_L(e),CHORM,L_AROND
PHEt2r,CHORM,L_AROND
ACGS,ORNTAC,ARGt2
