'ACALD','PFL','PTAr'
'EX_gsn(e)','EX_rib_D(e)','TKT1'
'EX_gsn(e)','RBK','TALA'
'EX_gsn(e)','RBK','TKT1'
'EX_gsn(e)','RIBabc','TALA'
'EX_gsn(e)','RIBabc','TKT1'
'EX_met_L(e)','EX_metala(e)','GLYMET1c'
'EX_met_L(e)','EX_metala(e)','GLYMETabc'
'EX_met_L(e)','GLYMET1c','METALA1c'
'EX_met_L(e)','GLYMET1c','METALAabc'
'EX_met_L(e)','GLYMETabc','METALA1c'
'EX_met_L(e)','GLYMETabc','METALAabc'
'EX_metala(e)','GLYMET1c','METt2r'
'EX_metala(e)','GLYMETabc','METt2r'
'EX_o2(e)','FE2DH','FE3abc'
'EX_orn(e)','EX_ptrc(e)','OCBT'
'EX_orn(e)','OCBT','PTRCabc'
'EX_ptrc(e)','OCBT','r1667'
'EX_rib_D(e)','GSNt2','TALA'
'EX_rib_D(e)','GSNt2','TKT1'
'F6PE4PL','RPE','TKT2'
'F6PE4PL','RPI','TKT2'
'F6PE4PL','TKT1','TKT2'
'FE2DH','FE3abc','FERO'
'FE2DH','FE3abc','O2t'
'FTHFL','MTHFD','MTHFD2'
'G3PD1','G3PD2','GLYK'
'GLYCL','MTHFD','MTHFD2'
'GLYMET1c','METALA1c','METt2r'
'GLYMET1c','METALAabc','METt2r'
'GLYMETabc','METALA1c','METt2r'
'GLYMETabc','METALAabc','METt2r'
'GMPS2','GSNK','GUAPRT'
'GSNt2','RBK','TALA'
'GSNt2','RBK','TKT1'
'GSNt2','RIBabc','TALA'
'GSNt2','RIBabc','TKT1'
'OCBT','PTRCabc','r1667'
'PPM','RBK','TALA'
'PUNP3','RBK','TALA'
'PUNP3','RBK','TKT1'
'TMDK1','TMDK2','TMDS'
