3HAD100
3HAD121
3HAD141
3HAD161
3HAD181
3HAD40
3HAD60
3HAD80
3OAR100
3OAR121
3OAR140
3OAR141
3OAR161
3OAR181
3OAR40
3OAR60
3OAR80
3OAS100
3OAS121
3OAS140
3OAS141
3OAS161
3OAS181
3OAS60
3OAS80
A5PISO
ACCOAC
ACGK
ACGS
ACLS
ACODA
ACOTA
ADSK
ADSL1r
ADSL2r
ADSS
AGMHE
AGPAT160
AGPAT161
AGPAT181
AGPR
AICART
AIRC2
AIRC3
ALAALAr
ALAR
ALATA_L
ANPRT
ANS
ARGSL
ARGSS
ASAD
ASPCT
ASPK
ASPTA
ATPPRT
BPNT
CBPS
CHORM
CHORS
CLPNS160pp
CLPNS161pp
CLPNS181pp
CTPS2
CYSTL
DAPDC
DAPE
DASYN160
DASYN161
DASYN181
DDPA
DHAD1
DHAD2
DHDPRy
DHDPS
DHFR
DHORTS
DHQS
DHQTi
DTMPK
G1PACT
G1PTT
G3PAT160
G3PAT161
G3PAT181
G3PD2
G5SADs
GALUi
GF6PTA
GK1
GLA
GLNS
GLUPRT
GLUR
GMHEPAT
GMHEPK
GMHEPPA
GMPS2
HCO3E
HISTD
HISTP
HSDy
HSK
HSST
HSTPT
IG3PS
IGPDH
IGPS
ILETA
IMPC
IMPD
IPMD
IPPMIa
IPPMIb
IPPS
KARA1
KARA2
KDOPP
KDOPS
LEUTAi
LPADSS
MAN6PI
MCOATA
MCTP1App
MPTG
NDPK2
NDPK4
NH4tex
NH4tpp
OCBT
OMCDC
OMPDC
ORPT
P5CR
PAPPT3
PE160abcpp
PE161abcpp
PE181abcpp
PGAMT
PGMT
PGSA160
PGSA161
PGSA181
PHETA1
PItex
PMANM
PPND
PPNDH
PRAGSr
PRAIS
PRAIi
PRAMPC
PRASCSi
PRATPP
PRFGS
PRMICI
PSCVT
PSD160
PSD161
PSD181
PSSA160
PSSA161
PSSA181
S7PI
SADT2
SDPDS
SDPTA
SHK3Dr
SHKK
SHSL1
SO4tex
SULR
SULabcpp
T2DECAI
TDPDRE
TDPDRR
TDPGDH
TDSK
THDPS
THRS
TMDS
TYRTA
U23GAAT
UAAGDS
UAGAAT
UAGCVT
UAGDP
UAGPT3
UAMAGS
UAMAS
UAPGR
UDCPDP
UDPG4E
UDPGD
UGMDDS
UHGADA
UMPK
USHD
EX_glc__D_e
EX_nh4_e
EX_pi_e
EX_so4_e
BIOMASS_
