Rv1201c
Rv3266c
Rv3465
Rv1079
Rv0391
Rv2539c
Rv2552c
Rv2335
Rv0858c
Rv1202
Rv2386c
Rv1285
Rv1286
Rv2958c
Rv2962c
Rv2465c
Rv1981c
Rv0570
Rv3051c
Rv3048c
Rv0436c
Rv0884c
Rv0437c
Rv3227
Rv1017c
Rv1603
Rv0803
Rv0788
Rv2934
Rv2932
Rv2935
Rv2931
Rv2933
Rv2928
Rv2122c
Rv0780
Rv1606
Rv0809
Rv0772
Rv2163c
Rv3838c
Rv3754
Rv2941
Rv3628
Rv2156c
Rv3068c
Rv2392
Rv0500
Rv1692
Rv1493
Rv1492
Rv0855
Rv0046c
Rv2124c
Rv1392
Rv3582c
Rv3581c
Rv2381c
Rv2379c
Rv2383c
Rv2378c
Rv2384
Rv2382c
Rv2380c
Rv2611c
Rv3255c
Rv3264c
Rv2210c
Rv2157c
Rv2152c
Rv2155c
Rv2153c
Rv2158c
Rv3809c
Rv2136c
Rv0482
Rv3818
Rv1018c
Rv1315
Rv1613
Rv1612
Rv3490
Rv2006
Rv3372
Rv3913
Rv1449c
Rv3001c
Rv3710
Rv2987c
Rv2988c
Rv2995c
Rv3393
Rv1843c
Rv3410c
Rv3411c
Rv0957
Rv1611
Rv1601
Rv1605
Rv1294
Rv1599
Rv1086
Rv2051c
Rv3396c
Rv1338
Rv2860c
Rv2222c
Rv1878
Rv2220
Rv1389
Rv1512
Rv3436c
Rv0993
Rv0618
Rv0619
Rv0620
Rv3808c
Rv1551
Rv0334
Rv2610c
Rv2957
Rv0382c
Rv1653
Rv1385
Rv2503c
Rv2504c
Rv1656
Rv3265c
Rv2445c
Rv2246
Rv2245
Rv3800c
Rv0644c
Rv0470c
Rv2870c
Rv3398c
Rv2538c
Rv2537c
Rv1381
Rv2139
Rv2763c
Rv2753c
Rv2773c
Rv0189c
Rv2178c
Rv2881c
Rv2726c
Rv1293
Rv3340
Rv1699
Rv2949c
Rv2540c
Rv1885c
Rv2612c
Rv1011
Rv1383
Rv2121c
Rv3709c
Rv1380
Rv2201
Rv3708c
Rv2192c
Rv3423c
Rv2981c
Rv3248c
Rv1652
Rv3792
Rv3794
Rv3793
Rv3795
Rv0357c
Rv0777
Rv2940c
Rv1662
Rv1663
Rv1484
Rv1350
Rv2947c
Rv2524c
Rv1323
Rv3801c
Rv0733
Rv1655
Rv3002c
Rv1654
Rv1302
Rv3280
Rv3815c
