'g.1979.peg.272'
'g.1979.peg.1868'
'g.1979.peg.1143'
'Unknown'
'g.1979.peg.135'
'g.1979.peg.1682'
'g.1979.peg.2053'
'g.1979.peg.299'
'525246.3.peg.2157'
'525246.3.peg.2158'
'525246.3.peg.611'
'525246.3.peg.1123'
'g.1979.peg.2197'
'g.1979.peg.896'
'g.1979.peg.625'
'525246.3.peg.1894'
'g.1979.peg.1107'
'g.1979.peg.522'
'g.1979.peg.724'
'g.1979.peg.216'
'g.1979.peg.352'
'g.1979.peg.441'
'525246.3.peg.1489'
'525246.3.peg.979'
'g.1979.peg.463'
'g.1979.peg.20'
'g.1979.peg.361'
'g.1979.peg.317'
'525246.3.peg.1726'
'g.1979.peg.1130'
'g.1979.peg.256'
'g.1979.peg.656'
'525246.3.peg.1950'
'g.1979.peg.979'
'525246.3.peg.1061'
'g.1979.peg.152'
'g.1979.peg.277'
'g.1979.peg.139'
'525246.3.peg.1836'
'g.1979.peg.1161'
'525246.3.peg.604'
'525246.3.peg.1717'
'g.1979.peg.710'
'g.1979.peg.1211'
'g.1979.peg.1081'
'g.1979.peg.509'
'g.1979.peg.1472'
'525246.3.peg.1982'
'g.1979.peg.1870'
'g.1979.peg.294'
'525246.3.peg.2116'
'525246.3.peg.2193'
'g.1979.peg.1281'
'525246.3.peg.1880'
'g.1979.peg.753'
'g.1979.peg.786'
'g.1979.peg.9'
'g.1979.peg.927'
'g.1979.peg.1835'
'g.1979.peg.393'
'g.1979.peg.507'
'g.1979.peg.740'
'g.1979.peg.1734'
'g.1979.peg.759'
'525246.3.peg.1036'
'g.1979.peg.1054'
'g.1979.peg.108'
'g.1979.peg.1320'
'g.1979.peg.1482'
'g.1979.peg.1499'
'g.1979.peg.173'
'g.1979.peg.2098'
'g.1979.peg.218'
'g.1979.peg.510'
'g.1979.peg.519'
'g.1979.peg.704'
'g.1979.peg.713'
'g.1979.peg.729'
'g.1979.peg.953'
'g.1979.peg.1001'
'g.1979.peg.1047'
'g.1979.peg.1057'
'g.1979.peg.1062'
'g.1979.peg.1076'
'g.1979.peg.1097'
'g.1979.peg.1105'
'g.1979.peg.1150'
'g.1979.peg.117'
'g.1979.peg.1178'
'g.1979.peg.1208'
'g.1979.peg.1232'
'g.1979.peg.1245'
'g.1979.peg.1249'
'g.1979.peg.1293'
'g.1979.peg.1313'
'g.1979.peg.1324'
'g.1979.peg.1328'
'g.1979.peg.134'
'g.1979.peg.1385'
'g.1979.peg.1393'
'g.1979.peg.1400'
'g.1979.peg.1432'
'g.1979.peg.1447'
'g.1979.peg.1473'
'g.1979.peg.1480'
'g.1979.peg.1517'
'g.1979.peg.1524'
'g.1979.peg.1530'
'g.1979.peg.1553'
'g.1979.peg.157'
'g.1979.peg.1590'
'g.1979.peg.1612'
'g.1979.peg.1623'
'g.1979.peg.1637'
'g.1979.peg.1652'
'g.1979.peg.1684'
'g.1979.peg.171'
'g.1979.peg.1761'
'g.1979.peg.1769'
'g.1979.peg.1771'
'g.1979.peg.1794'
'g.1979.peg.18'
'g.1979.peg.1810'
'g.1979.peg.1828'
'g.1979.peg.1834'
'g.1979.peg.1923'
'g.1979.peg.1950'
'g.1979.peg.1979'
'g.1979.peg.1988'
'g.1979.peg.1998'
'g.1979.peg.2038'
'g.1979.peg.2096'
'g.1979.peg.2153'
'g.1979.peg.49'
'g.1979.peg.537'
'g.1979.peg.563'
'g.1979.peg.564'
'g.1979.peg.63'
'g.1979.peg.658'
'g.1979.peg.663'
'g.1979.peg.671'
'g.1979.peg.739'
'g.1979.peg.767'
'g.1979.peg.789'
'g.1979.peg.793'
'g.1979.peg.885'
'g.1979.peg.930'
'g.1979.peg.1036'
'g.1979.peg.1136'
'g.1979.peg.1166'
'g.1979.peg.1628'
'g.1979.peg.1967'
'g.1979.peg.24'
'g.1979.peg.41'
'g.1979.peg.425'
'g.1979.peg.573'
'g.1979.peg.960'
