EX_ala__D_e,DALAt2pp
I4FE4ST,S2FE2SS2
I4FE4ST,S4FE4SR
I4FE4ST,S4FE4ST
I4FE4ST,SCYSDS
ICL,PPC
IMPD,XPPT
IPDDI,IPDPS
MALS,PPC
MECDPDH5,MECDPDH2
MTHFC,PFL
MTHFD,PFL
NDPK5,RNTR2c2
NDPK7,RNTR3c2
NDPK8,RNTR1c2
NI2tpp,NI2uabcpp
O2tex,OPHHX3
O2tex,PGK
O2tex,PGM
O2tex,PPC
O2tex,PPPGO3
O2tex,SUCCtex
O2tpp,OPHHX3
O2tpp,PGK
O2tpp,PGM
O2tpp,PPC
O2tpp,PPPGO3
O2tpp,SUCCtex
OPHHX,OPHHX3
PAPSR,PAPSR2
PAPSR2,TRDR
PDX5PO2,PDX5POi
PIt2rpp,PIuabcpp
PPA,PPK
PPC,SUCDi
PPPGO,PPPGO3
PRASCSi_copy1,PRASCSi_copy2
RPE,RPI
RPE,TKT1
RPE,TKT2
RPI,TALA
RPI,TKT1
RPI,TKT2
SO4t2pp,SULabcpp
TKT1,TKT2
TRPS1,TRPS3
ZN2tpp,ZNabcpp
