g.26676.CDS.1623,g.26676.CDS.42
g.26676.CDS.1693,g.26676.CDS.42
g.26676.CDS.181,g.26676.CDS.883
g.26676.CDS.1355,g.26676.CDS.42
g.26676.CDS.1615,435830.3.peg.1518
g.26676.CDS.215,g.26676.CDS.494
g.26676.CDS.1214,g.26676.CDS.788
435830.3.peg.1499,g.26676.CDS.1149
435830.3.peg.1499,g.26676.CDS.282
435830.3.peg.1499,435830.3.peg.608
435830.3.peg.1499,g.26676.CDS.509
g.26676.CDS.1364,g.26676.CDS.641
435830.3.peg.959,g.26676.CDS.854
g.26676.CDS.854,g.26676.CDS.666
435830.3.peg.135,g.26676.CDS.432
435830.3.peg.455,g.26676.CDS.167
435830.3.peg.132,g.26676.CDS.432
g.26676.CDS.1403,g.26676.CDS.167
g.26676.CDS.607,435830.3.peg.11
g.26676.CDS.1014,g.26676.CDS.1181
g.26676.CDS.1014,g.26676.CDS.197
435830.3.peg.461,g.26676.CDS.432
g.26676.CDS.1277,g.26676.CDS.675
g.26676.CDS.1084,g.26676.CDS.42
g.26676.CDS.1023,g.26676.CDS.42
g.26676.CDS.789,g.26676.CDS.432
435830.3.peg.1749,435830.3.peg.267
435830.3.peg.1749,g.26676.CDS.1222
435830.3.peg.454,g.26676.CDS.167
g.26676.CDS.879,g.26676.CDS.432
g.26676.CDS.1239,g.26676.CDS.432
g.26676.CDS.1611,g.26676.CDS.42
g.26676.CDS.124,g.26676.CDS.1631
g.26676.CDS.512,g.26676.CDS.736
g.26676.CDS.1141,435830.3.peg.1390
435830.3.peg.551,g.26676.CDS.432
435830.3.peg.267,g.26676.CDS.1222
435830.3.peg.267,435830.3.peg.266
435830.3.peg.267,435830.3.peg.1750
g.26676.CDS.1222,435830.3.peg.266
g.26676.CDS.1222,435830.3.peg.1750
g.26676.CDS.1559,g.26676.CDS.42
g.26676.CDS.1181,g.26676.CDS.197
g.26676.CDS.42,435830.3.peg.385
g.26676.CDS.1078,g.26676.CDS.604
435830.3.peg.453,g.26676.CDS.167
435830.3.peg.1093,g.26676.CDS.167
g.26676.CDS.1092,g.26676.CDS.1293
435830.3.peg.1518,g.26676.CDS.155
g.26676.CDS.432,435830.3.peg.743
g.26676.CDS.432,g.26676.CDS.3
g.26676.CDS.432,435830.3.peg.459
435830.3.peg.321,435830.3.peg.689
g.26676.CDS.1153,g.26676.CDS.1487
g.26676.CDS.1220,g.26676.CDS.1487
g.26676.CDS.1356,g.26676.CDS.1487
g.26676.CDS.1367,g.26676.CDS.783
g.26676.CDS.429,g.26676.CDS.814
