DM_mththf_c
BIOMASS_Ec_iJO1366_core_53p95M
EX_ca2_e
EX_cl_e
EX_cobalt2_e
EX_cu2_e
EX_glc__D_e
EX_k_e
EX_mg2_e
EX_mn2_e
EX_mobd_e
EX_nac_e
EX_nh4_e
EX_ni2_e
EX_pi_e
EX_so4_e
EX_thm_e
EX_zn2_e
3HAD100
3HAD121
3HAD141
3HAD161
3OAR100
3OAR121
3OAR140
3OAR141
3OAR161
3OAS100
3OAS121
3OAS140
3OAS141
3OAS161
A5PISO
ACCOAC
ACGK
ACGS
ACHBS
ACLS
ACODA
ACONTa
ACONTb
ACOTA
ADSK
ADSL1r
ADSL2r
ADSS
AGPAT160
AGPAT161
AGPR
AHCYSNS
AICART
AIRC2
AIRC3
ALAALAr
ALAR
ANPRT
ANS
APRAUR
ARGSL
ARGSS
ASAD
ASP1DC
ASPCT
ASPK
ASPTA
ATPPRT
BMOCOS
BMOGDS1
BMOGDS2
BPNT
CA2tex
CAt6pp
CDPMEK
CHORM
CHORS
CHRPL
CLt3_2pp
CLtex
COBALT2tex
COBALT2tpp
CPMPS
CS
CTPS2
CU2tex
CU2tpp
CYSS
CYSTL
DAPDC
DAPE
DASYN160
DASYN161
DB4PS
DDPA
DHAD1
DHAD2
DHDPRy
DHDPS
DHFR
DHORTS
DHPPDA2
DHPTDCs2
DHQS
DHQTi
DMATT
DPCOAK
DPR
DTMPK
DXPRIi
DXPS
E4PD
FCLT
FMNAT
G1PACT
G1SAT
G3PD2
G5SADs
GF6PTA
GK1
GLCtex
GLNS
GLUPRT
GLUR
GLUTRR
GLUTRS
GMPS2
GRTT
GTPCII2
HBZOPT
HCO3E
HISTD
HISTP
HMBS
HSDy
HSK
HSST
HSTPT
ICDHyr
ICYSDS
IG3PS
IGPDH
IGPS
ILETA
IMPC
IPMD
IPPMIa
IPPMIb
IPPS
K2L4Aabcpp
K2L4Aabctex
KARA1
KARA2
KDOCT2
KDOPP
KDOPS
Kt2pp
Ktex
LEUTAi
LPADSS
MCOATA
MCTP1App
MECDPS
MEPCT
METAT
METS
MG2tex
MNtex
MOADSUx
MOAT
MOAT2
MOBDabcpp
MOBDtex
MOCOS
MOHMT
MPTAT
MPTG
MPTS
MPTSS
MTHFR2
MTHTHFSs
NACtex
NACtpp
NADK
NADS1
NAMNPP
NDPK2
NDPK4
NH4tex
NH4tpp
NI2tex
NNATr
OCBT
OCTDPS
OHPBAT
OMCDC
OMPDC
OPHBDC
ORPT
P5CR
PANTS
PAPPT3
PDX5PS
PE160abcpp
PE161abcpp
PERD
PGAMT
PHETA1
PItex
PMDPHT
PNTK
PPBNGS
PPC
PPCDC
PPNCL2
PPND
PPNDH
PRAGSr
PRAIS
PRAIi
PRAMPC
PRATPP
PRFGS
PRMICI
PSCVT
PSD160
PSD161
PSSA160
PSSA161
PTPATi
RBFK
RBFSa
RBFSb
RHCCE
SADT2
SDPDS
SDPTA
SERAT
SHCHD2
SHCHF
SHK3Dr
SHKK
SHSL1
SO4tex
SULR
T2DECAI
TDSK
THDPS
THMabcpp
THMtex
THRD_L
THRS
TMDS
TMK
TMPK
TYRTA
U23GAAT
UAAGDS
UAGAAT
UAGCVT
UAGDP
UAGPT3
UAMAGS
UAMAS
UAPGR
UDCPDP
UDCPDPS
UGMDDS
UHGADA
UMPK
UPP3MT
UPP3S
UPPDC1
USHD
Zn2tex
