ACPS1
ADSL1r
ADSS
ALAALA
BPNT
CA2abc
CDPMEK
Coabc
Cuabc
DAPE
DHDPRy
DHDPS
DHFR
DMATT
DPCOAK
DTMPK
DXPRIr
DXPS
EX_biomass(e)
EX_ca2(e)
EX_cl(e)
EX_cobalt2(e)
EX_cu2(e)
EX_fe2(e)
EX_fe3(e)
EX_ile_L(e)
EX_k(e)
EX_mg2(e)
EX_mn2(e)
EX_so4(e)
EX_trp_L(e)
EX_val_L(e)
EX_zn2(e)
FE2abc
FE3abc
FMNAT
GLUR
GMPS2
GRTT
ILEt2r
MECDPDH2
MECDPS
MEPCT
METAT
MNabc
NNATr
PAPPT3
PEPGLY
PNTK
PPCDC
PRPPS
PTPAT
RBFK
SO4t2
TMDS
TRDRr
TRPt2r
UAAGDS
UAGCVT_r
UAGPT3
UAMAGS
UAMAS
UAPGR
UDCPDP
UDCPDPS
UGMDDS
UMPK
VALt2r
ZNabc
dreplication
pbiosynthesis
r2137
rtranscription
biomass525
