UTI89_C3251,UTI89_C4547,UTI89_C0717
UTI89_C3251,UTI89_C4547,UTI89_C0720
UTI89_C3253,UTI89_C4574,UTI89_C4547
UTI89_C3253,UTI89_C4547,UTI89_C0718
UTI89_C3253,UTI89_C4547,UTI89_C0719
UTI89_C3253,UTI89_C4547,UTI89_C0717
UTI89_C3253,UTI89_C4547,UTI89_C0720
UTI89_C4574,UTI89_C0559,UTI89_C4547
UTI89_C4574,UTI89_C3299,UTI89_C4547
UTI89_C4574,UTI89_C3309,UTI89_C1895
UTI89_C4574,UTI89_C4547,UTI89_C5159
UTI89_C4574,UTI89_C4547,UTI89_C0534
UTI89_C4573,UTI89_C3392,UTI89_C4547
UTI89_C0164,UTI89_C3894,UTI89_C2841
UTI89_C4501,UTI89_C2758,UTI89_C0761
UTI89_C4501,UTI89_C2758,UTI89_C0762
UTI89_C4501,UTI89_C2758,UTI89_C0763
UTI89_C0559,UTI89_C0973,UTI89_C4543
UTI89_C0559,UTI89_C0973,UTI89_C4542
UTI89_C0559,UTI89_C4547,UTI89_C0718
UTI89_C0559,UTI89_C4547,UTI89_C0719
UTI89_C0559,UTI89_C4547,UTI89_C0717
UTI89_C0559,UTI89_C4547,UTI89_C0720
UTI89_C1549,UTI89_C3493,UTI89_C0844
UTI89_C3299,UTI89_C4547,UTI89_C0718
UTI89_C3299,UTI89_C4547,UTI89_C0719
UTI89_C3299,UTI89_C4547,UTI89_C0717
UTI89_C3299,UTI89_C4547,UTI89_C0720
UTI89_C3309,UTI89_C1895,UTI89_C0718
UTI89_C3309,UTI89_C1895,UTI89_C0719
UTI89_C3309,UTI89_C1895,UTI89_C0717
UTI89_C3309,UTI89_C1895,UTI89_C0720
UTI89_C4547,UTI89_C5159,UTI89_C0718
UTI89_C4547,UTI89_C5159,UTI89_C0719
UTI89_C4547,UTI89_C5159,UTI89_C0717
UTI89_C4547,UTI89_C5159,UTI89_C0720
UTI89_C4547,UTI89_C0718,UTI89_C0534
UTI89_C4547,UTI89_C0719,UTI89_C0534
UTI89_C4547,UTI89_C0717,UTI89_C0534
UTI89_C4547,UTI89_C0720,UTI89_C0534
UTI89_C3878,UTI89_C5154,UTI89_C1401
UTI89_C2516,UTI89_C3035,UTI89_C4842
UTI89_C2516,UTI89_C3036,UTI89_C4842
UTI89_C2515,UTI89_C3035,UTI89_C4842
UTI89_C2515,UTI89_C3036,UTI89_C4842
UTI89_C3035,UTI89_C4842,UTI89_C0903
UTI89_C3036,UTI89_C4842,UTI89_C0903
