'g.1959.peg.476'
'Unknown'
'g.1959.peg.1243'
'g.1959.peg.1444'
'g.1959.peg.186'
'g.1959.peg.1824'
'g.1959.peg.1033'
'521097.5.peg.34'
'521097.5.peg.1727'
'521097.5.peg.505'
'g.1959.peg.2040'
'g.1959.peg.1147'
'g.1959.peg.1029'
'g.1959.peg.1556'
'g.1959.peg.1725'
'g.1959.peg.1990'
'521097.5.peg.1828'
'g.1959.peg.1046'
'521097.5.peg.479'
'521097.5.peg.1956'
'g.1959.peg.531'
'521097.5.peg.1405'
'g.1959.peg.1305'
'521097.5.peg.1308'
'521097.5.peg.1603'
'g.1959.peg.500'
'g.1959.peg.1842'
'521097.5.peg.1353'
'g.1959.peg.525'
'g.1959.peg.1081'
'g.1959.peg.1909'
'g.1959.peg.1642'
'g.1959.peg.1980'
'g.1959.peg.964'
'521097.5.peg.1350'
'g.1959.peg.167'
'521097.5.peg.1338'
'g.1959.peg.1889'
'521097.5.peg.49'
'521097.5.peg.1579'
'g.1959.peg.1108'
'g.1959.peg.556'
'g.1959.peg.1329'
'g.1959.peg.128'
'g.1959.peg.1516'
'g.1959.peg.1679'
'g.1959.peg.1306'
'g.1959.peg.661'
'g.1959.peg.1675'
'g.1959.peg.1099'
'521097.5.peg.2054'
'521097.5.peg.1722'
'g.1959.peg.118'
'521097.5.peg.762'
'521097.5.peg.1476'
'g.1959.peg.534'
'g.1959.peg.1093'
'521097.5.peg.1349'
'521097.5.peg.314'
'521097.5.peg.384'
'g.1959.peg.669'
'g.1959.peg.849'
'g.1959.peg.789'
'521097.5.peg.96'
'g.1959.peg.1563'
'g.1959.peg.269'
'g.1959.peg.722'
'g.1959.peg.1227'
'g.1959.peg.1966'
'g.1959.peg.570'
'g.1959.peg.1320'
'g.1959.peg.506'
'521097.5.peg.1878'
'g.1959.peg.1829'
'g.1959.peg.1007'
'g.1959.peg.1113'
'g.1959.peg.117'
'g.1959.peg.1244'
'g.1959.peg.1323'
'g.1959.peg.1382'
'g.1959.peg.1740'
'g.1959.peg.1923'
'g.1959.peg.1943'
'g.1959.peg.1974'
'g.1959.peg.2093'
'g.1959.peg.2106'
'g.1959.peg.549'
'g.1959.peg.604'
'g.1959.peg.78'
'g.1959.peg.1031'
'g.1959.peg.1043'
'g.1959.peg.1067'
'g.1959.peg.1107'
'g.1959.peg.1128'
'g.1959.peg.114'
'g.1959.peg.1268'
'g.1959.peg.1311'
'g.1959.peg.1322'
'g.1959.peg.1409'
'g.1959.peg.1469'
'g.1959.peg.156'
'g.1959.peg.1670'
'g.1959.peg.1681'
'g.1959.peg.1688'
'g.1959.peg.1713'
'g.1959.peg.1733'
'g.1959.peg.1748'
'g.1959.peg.1764'
'g.1959.peg.1781'
'g.1959.peg.1866'
'g.1959.peg.1914'
'g.1959.peg.197'
'g.1959.peg.1971'
'g.1959.peg.2014'
'g.1959.peg.2037'
'g.1959.peg.2053'
'g.1959.peg.2080'
'g.1959.peg.21'
'g.1959.peg.2116'
'g.1959.peg.236'
'g.1959.peg.27'
'g.1959.peg.281'
'g.1959.peg.297'
'g.1959.peg.298'
'g.1959.peg.347'
'g.1959.peg.350'
'g.1959.peg.361'
'g.1959.peg.375'
'g.1959.peg.377'
'g.1959.peg.394'
'g.1959.peg.42'
'g.1959.peg.427'
'g.1959.peg.429'
'g.1959.peg.446'
'g.1959.peg.454'
'g.1959.peg.489'
'g.1959.peg.50'
'g.1959.peg.557'
'g.1959.peg.558'
'g.1959.peg.582'
'g.1959.peg.591'
'g.1959.peg.6'
'g.1959.peg.617'
'g.1959.peg.653'
'g.1959.peg.712'
'g.1959.peg.713'
'g.1959.peg.757'
'g.1959.peg.761'
'g.1959.peg.765'
'g.1959.peg.771'
'g.1959.peg.794'
'g.1959.peg.800'
'g.1959.peg.826'
'g.1959.peg.840'
'g.1959.peg.882'
'g.1959.peg.910'
'g.1959.peg.923'
'g.1959.peg.986'
'g.1959.peg.231'
'g.1959.peg.1497'
'g.1959.peg.1652'
'g.1959.peg.1699'
'g.1959.peg.1814'
'g.1959.peg.1912'
'g.1959.peg.1949'
'g.1959.peg.328'
'g.1959.peg.516'
'g.1959.peg.758'
