THDPS
TDPGDH
TDPDRR
TDPDRE
TDMS4
TDMS3
TDMS2
TDMS1
TATSO
TATS
TAS
SULabc
SULR
SHSL1
SHKK
SHK3Dr
SERAT
SDPTA
SDPDS
SALCS
RRPPDIMAS
RPPDIMAS
RPI
RNDR3
RNDR2
RNDR1
RBK_Dr
PSSA160
PSP_L
PSERT
PSD160
PSCVT
PRPPS
PRMICI
PRFGS
PREPTHS2
PREPTHS
PREPPACPH
PRATPP
PRASCSi
PRAMPC
PRAIi
PRAIS
PRAGSr
PPTGS_TB2
PPTGS_TB1
PPNDH
PPND
PPDIMAS
PPA
PMANM
PHTHS2
PHTHS
PHTHDLS2
PHTHDLS
PHETA1
PHDCATA
PGSA190
PGSA160190
PGSA160
PGPPT3
PGPP190
PGPP160190
PGPP160
PGMT
PGLS
PGCD
PGAMT
PDIMAS
PATS
PAPSR
PAPPT3
PAPPT2
PAPPT1
MN6PP
MMM2
MME
MI1PS
MI1PP
METS
METAT
MEPCT
MECDPS
MECDPDH
MCOATA
MCBTS3
MCBTS
MANAT3
MANAT1
MAN6PI
BIOMASS_Mtb_9_60atp
VALTA
UGMDDS2
UGMDDS
UGMAS
UGMAGS
UGLDDS2
UGLDDS1
UGGPT3
UGAGDS
UDPGALM
UDPG4E
UDCPDP
UAPGR
UAMRH
UAMAS
UAMAGS
UAGPT3
UAGPT2
UAGPT1
UAGDP
UAGCVT
UAAGLS2
UAAGLS1
UAAGDS
TYRTA
TRESULT
TRE6PS
TRE6PP
TRDR
TMHAS4
TMHAS3
TMHAS2
TMHAS1
TMDS
LEUTA
KARA2
KARA1
IPPS
IPPMIb
IPPMIa
IPMD
INSH
IMPD
IMPC
ILETA
IGPS
IGPDH
IG3PS
HSTPT
HISTP
HISTD
HCO3E
HAS
GRTT
GMT2
GMT1
GMPS2
GMAND
GLYCt
GLUR
GLUPRT
GLNS
GK1
GHMT2r
GFUCS
GF6PTA
GARFT
GALUi
GALT
GALKr
GALFT
G5SADs
G3PAT190
G3PAT160
G1PTT
G1PACT
G16MTM9
G16MTM8
G16MTM7
G16MTM6
G16MTM5
G16MTM4
G16MTM10
G16MTM1
FRRPPDIMAS
EX_glyc_e
EX_fe3_e
ORPT
OMPDC
OMCDC
OCOAT1
OCBT
O2t
O16RHAT
NDPK4
NDPK2
MYCSacp58
MYCSacp56
MYCSacp50
MYCON5
MYCON4
MYCON3
MYCON2
MYCON1
MYC2CYC3
MYC2CYC2
MYC2CYC1
MYC1M2
MYC1M1
MYC1CYC5
MYC1CYC4
MYC1CYC3
MYC1CYC2
MYC1CYC1
MTHFR2
DXPS
DXPRIi
DMATT
DHQS
DHQTi
DHORTS
DHFR
DHDPS
DHDPRy
DHAD2
DHAD1
DGK1
DDPA
DASYN190190
DASYN160190
DASYN160
DAPE
DAPDC
CYSTL
CYSS
CMCBTFL
CLPNS160190
CHRPL
CHORS
CHORM
CDPPT160190
CDPMEK
CBPS
BPNT
BDH
ATPPRT
ASPTA
ASPK
ASPCT
ASNS1
ASAD
ARACHTA
ARABDI
ARABF
ANS
ANPRT
ALAR
ALAALAr
AHCi
AGPR
AGPAT190
AGPAT160190
AGPAT160
AFTA
AFE
ADSS
ADSL2r
ADSL1r
ADSK
FASm340
FASm320
FASm300
FASm2802
FASm2801
FASm280
FASm2602
FASm2601
FASm260
FASm2402
FASm2401
FASm240
FASm2202
FASm2201
FASm220
FASm2002
FASm2001
FASm1801
FASm180
FASm1601
FASPHDCA
FAS80_L
FAS260
FAS240_L
FAS200
FAS180
FAS160
FAS140
FAS120
FAS100
FAMPL5
FAMPL4
FAMPL3
FAMPL2
FAMPL1
FACOALPHDCA
FACOAL80
FACOAL200
FACOAL160
EX_so4_e
EX_pi_e
EX_o2_e
ACOTA
ACLS
ACHBS
ACGK
ACGAMT
ACChex
ACCOAC
ACCC
ACACT1r
AACPS3
AACPS11
AACPS10
